+0001.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000,+0000.0000000000000000
+0000.9999518096850695,+0000.0000240945043095,+0000.0000240950848910,+0000.0000000001451479,+0000.0000000005805778,+0000.0000000000000004,+0000.0000000000000062,-000000000000000000nan,-000000000000000000nan,+0000.0000000000000000,-000000000000000000nan,-000000000000000000nan
-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan
-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan
-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan
-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan
-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan
-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan
-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan
-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan
-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan
-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan
-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan
-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan
-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan
-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan
-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan
-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan
-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan
-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan
-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan
-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan
-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan
-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan
-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan
-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan
-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan
-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan
-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan
-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan
-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan
-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan
-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan
-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan
-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan
-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan
-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan
-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan
-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan
-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan,-000000000000000000nan
